shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4461.776740296014,1000.0,0.1850906806205719
gravity,1.0,5475.181881210732,1000.0,0.0
gravity,1.5,4485.311912724246,1000.0,0.18079216178798338
gravity,2.0,2778.901043400268,1000.0,0.4924550263916042
obs_noise,0.0,5475.181881210732,1000.0,0.0
obs_noise,0.01,5473.7711798568,1000.0,0.00025765378841084854
obs_noise,0.1,3440.244056993278,1000.0,0.37166579455575394
obs_noise,0.3,1102.7600934023822,1000.0,0.7985893222676782
friction,0.5,5473.966643013535,1000.0,0.00022195394117731042
friction,1.0,5475.181881210732,1000.0,0.0
friction,1.5,5604.518991810964,1000.0,-0.023622431803421842
friction,2.0,5638.496365970101,1000.0,-0.02982813873632534
reward_perturb,0.0,5475.181881210732,1000.0,0.0
reward_perturb,0.1,5475.7186116592775,1000.0,-9.802970206108031e-05
reward_perturb,0.5,5471.622606223594,1000.0,0.0006500742923907006
reward_perturb,1.0,5488.7664742915895,1000.0,-0.00248112179204051
